suite,problem,maximize,objective,feasible,proven,elapsedMs,budgetMs,format,structure,numGlobal,numLinear,boolHeavy,logic
miplib2017,ej,false,,,false,60000,60000,,,,,,
miplib2017,enlight4,false,,false,true,60000,60000,,,,,,
smtlib-qf_idl,Averest/min_max/MinMax_safe_bgmc003,false,,,false,60000,60000,,,,,,
smtlib-qf_idl,mathsat/fischer/FISCHER3-4-ninc,false,,true,false,2558,60000,,,,,,
smtlib-qf_idl,mathsat/fischer/FISCHER6-2-ninc,false,,false,true,60000,60000,,,,,,
smtlib-qf_idl,mathsat/post_office/PO2-3-PO2,false,,false,true,60000,60000,,,,,,
smtlib-qf_lia,20230321-UltimateAutomizerSvcomp2023/jain_5-2.c_7,false,,,false,60000,60000,smtlib,arithmetic,0,0,false,
smtlib-qf_lia,20231117-c_inference/30_30_18_12_sat,false,,,false,60000,60000,smtlib,arithmetic,0,0,false,
smtlib-qf_lia,Averest/parallel_prefix_sum/ParallelPrefixSum_live_bgmc000,false,,,false,60000,60000,smtlib,arithmetic,0,0,false,
smtlib-qf_lia,RTCL/b04_tf_15/ckt_PROP0_tf_15,false,,,false,60000,60000,smtlib,arithmetic,0,0,false,
smtlib-qf_lia,check/bignum_lia2,false,,true,false,490,60000,smtlib,arithmetic,0,0,false,
smtlib-qf_lia,dillig/10-21,false,,true,false,402,60000,smtlib,arithmetic,0,0,false,
smtlib-qf_lia,mathsat/FISCHER1-1-fair,false,,true,false,385,60000,smtlib,arithmetic,0,0,false,
smtlib-qf_lia,mathsat/FISCHER1-2-fair,false,,false,true,60000,60000,smtlib,arithmetic,0,0,false,
smtlib-qf_lia,wisa/wisa1,false,,,false,60000,60000,smtlib,arithmetic,0,0,false,
smtlib-qf_lira,LCTES/cruise-control,false,,,false,60000,60000,,,,,,
smtlib-qf_lira,LCTES/smtopt,false,,,false,60000,60000,,,,,,
smtlib-qf_lira,LCTES/tdf.locals,false,,,false,60000,60000,,,,,,
smtlib-qf_lra,DTP-Scheduling/constraints-tempo-width-1,false,,true,false,224,60000,,,,,,
smtlib-qf_lra,TM/p-0-bucket_s7,false,,,false,60000,60000,,,,,,
smtlib-qf_lra,check/bignum_lra1,false,,true,false,4285,60000,,,,,,
smtlib-qf_lra,sal/windowreal/windowreal-no_t_deadlock-17,false,,false,true,60000,60000,,,,,,
smtlib-qf_lra,tta_startup/simple_startup_5nodes.abstract.induct,false,,,false,60000,60000,,,,,,
smtlib-qf_lra,tta_startup/simple_startup_5nodes.bug.induct,false,,,false,60000,60000,,,,,,
