suite,problem,maximize,objective,feasible,proven,elapsedMs,budgetMs,format,structure,numGlobal,numLinear,boolHeavy,logic
mzn-challenge,2011/ship-schedule/4Ships,true,367530.0,true,false,1534,3000,,,,,,
mzn-challenge,2012/vrp/A-n38-k5.vrp,false,,,false,3000,3000,,,,,,
mzn-challenge,2013/proteindesign12/1HZ5.12p.19aa.usingEref_self,false,,,false,3000,3000,,,,,,
mzn-challenge,2014/spot5/1502,false,54112.0,true,false,2097,3000,,,,,,
mzn-challenge,2015/roster/chicroster_dataset_11,false,57.0,true,false,1542,3000,,,,,,
mzn-challenge,2016/prize-collecting/28-4-7-1,true,,,false,3000,3000,,,,,,
mzn-challenge,2017/routing-flexible,false,204297.0,true,false,1052,3000,,,,,,
mzn-challenge,2018/steiner-tree/es10fst03.stp,false,,,false,3000,3000,,,,,,
mzn-challenge,2019/stack-cuttingstock/d14,false,26.0,true,false,581,3000,,,,,,
mzn-challenge,2020/skill-allocation/skill_allocation_mzn_1m_1,false,,,false,3000,3000,,,,,,
mzn-challenge,2021/seat-moving/sm-10-11-00,false,,,false,3000,3000,,,,,,
mzn-challenge,2022/traveling-tppv/circ14cnonbal,false,,,false,3000,3000,,,,,,
mzn-challenge,2023/travelling-thief/data/n10_k15_c5000_l10000_u11000_r49,true,,,false,3000,3000,,,,,,
mzn-challenge,2024/tiny-cvrp/easy_instance_04,false,,,false,3000,3000,,,,,,
mzn-challenge,2025/skill-allocation/skill_allocation_mzn_1m_2,false,,,false,3000,3000,,,,,,
