suite	problem	cacheFile	commandSha256	rawOutputSha256
mps-core	blend-tiny	166e556ec08d4a63cc09e5cd5263e11f5d08bd88a1b5d865512767cd8b631b59.json	2d49f91977bdf56b15b16a3bed9f11731602b29ff5453b8b7479116b9a237376	9d4a4b44eec4cd8e9217f8acdd2dcf29113a8d7a5d3a3793ebfa026bcb22533b
mps-core	feasible-tiny	08fcb3611b5d289a024bb24cb249763de58c8fc17c99ccf366a14cb25db14d56.json	dad934e646987e60ebcb51eebfc2a18a110f4c65cfc0c192f43dbb626c6b7fa5	7b6cf0e16cd02b0e0eb4d39e29384f281eeee9c529f5036e40c124050bedace1
mps-core	float-tiny	4b2a30cc6ff84d42f5083bf082c6d72c76d3c442b18d96122370808916a54e0f.json	7aeb63d56f3e55f3d3f913bc30a8824084d0196ea998cc0bbebc29b17b8332f9	b64d23674a638ac050048fa2ca144a1c4f9fc3dd9b2c41877e602b0e67cae7df
mps-core	infeasible-tiny	fbe479ed1d358322705ed707e6b1730cfbf1b1b32bfeb90f3804149764f8b7e8.json	c39f029cf9ea8aceb87c507a1cd06183c02385ff5f165ff25edcb47c3ee35f48	212be926316bf67720cc1d0afe6c92751d97b73560e2b122186f39fbd507ebad
mzn-bench	2011/ship-schedule/4Ships	d536b67b7f4aa26e56730e18c2e7668f771e955d8ed1c9346aef759c62c0e55a.json	342ecc8ea4e8e3da1ec76f8f721c37f5e873ff8f1c5ed7d92e09cd9b11d8f736	19e69ffae65b198f4e0e697959895d627e112f7b43bdc4ebd1fa40c2fdbaad03
mzn-bench	2012/vrp/A-n38-k5.vrp	0f330361c47a76e6c53a54fada0b7ed00d11925d66aeb60047ccc5ce57044fba.json	193e872873fa53c5fe6ee825510bf69c25947e34489b2d527b5a6155949803bb	1c4ba33ed9fe6f38dee63e99592d34342a522322e904efd062b6d679492d79aa
mzn-bench	2013/proteindesign12/1HZ5.12p.19aa.usingEref_self	7e4c7d68ce143d14905abeaceacd05cb2788c7a32eee34546907eb0f5a061056.json	89b2ede83048e1b6ca29da850858f993a618e3a224cdd57f49862a26e112e31f	61ece3a2a1c5fd96d17efdb3d362fe49483f21743e4c3de245c8b82653b9ef91
mzn-bench	2014/spot5/1502	a3ec373c91974e2dcf751e8a94501a2ce8df70c1f8d7f798d03a3ff836fa1690.json	8e74b97e242f967680ce7ea9f4bffc9439d7c7fff2b3371f3dc7db9b2ddce89a	27d5877423a1864a1728227f030e755206e73b54df373dabde4975beb6a7154b
mzn-bench	2015/roster/chicroster_dataset_11	580226eee3c9c1ac6895a1d6aa1afc2bae4c30fd0d997a097f6396f8ffcffafe.json	6b0a94afc44859581b881a4ca13602d44a42d80de1790447161ea1b41782d5e8	33ca4a1dea7da0115956f7fb67b870b4244821cab4a929f065b2ac9f1e44b8aa
mzn-bench	2016/prize-collecting/28-4-7-1	c2fcc967c6b1d2dd2800878beb1b916778fe6b2bd8dc789612d935871455a97b.json	a8b699957bae947acce17ace2a896eec14fd0b4ba23223863d30868fdda6c37c	74736111d82de6a94d4628484286a5dd6c84df9204b20088c52681749c4242f1
mzn-bench	2017/routing-flexible	c1a9af9c41cd5ce590e262b0ada52ac2c6a5cd4020d1f75ed977215db1fb44fa.json	479a122e0c574d91742ef869c0e656c58382d1eb581c29c529500670aed865c7	71f41539adfe0043bfbc8781d3c73f795d73e994a1f6576c92864d31e23defd9
mzn-bench	2018/steiner-tree/es10fst03.stp	9c47304fd4653df27c6f398dbb76617f8cbf3d24901178927d0802e3b1399ccb.json	90edf77ecf2fba5efbf9a1ab77327ff87bc7aa6f88e1be90581cfb32ebc2dc47	052024f551799cdac062281e130e0e13707d384a7bc715a83707ce6f5b395d7a
mzn-bench	2019/stack-cuttingstock/d14	d78c4f9427f62111226864576177e336b07c40ba28056d3601b9cd0b9e59f329.json	c02b079ababbcabc3c8e3e97dfd922ff22b7fe361bc6a2e3380cc0783ed627dd	7b88dae0771439731b18f2576239ed9cc15fd1385374435a4c33622c7038e6dd
mzn-bench	2020/skill-allocation/skill_allocation_mzn_1m_1	008af730ed6a888251f4a51b0ab06576f58a0de1f3f4550a9d571a72613a83f3.json	42f34e71ddaff5a796679921a203d35da215bc132390a95b5e858c9c370aa99d	6630a96ad4a05dcd266e090f6452f4f4f4df25c9d056a6444d215607b33b8686
mzn-bench	2021/seat-moving/sm-10-11-00	fabe87b0ce56b32bb7f091bd0c1c9b07e18c6088411cde5d3254d41e91ba1fff.json	bfdfb55a78701fbd78428cff94198017bda9702687c18b94561d12cc447eb456	f12f41e1674dfb630a26c0aab4cbddd496a983b636afc82e35b120a0a8d5a5fa
mzn-bench	2022/traveling-tppv/circ14cnonbal	f5300f2ff137bba9e6af11b9fc55c2f32c588fcab4d8c4ea574bf45d52aec08d.json	cfd29c53838a8971ece3bb69faad4c83938660954434108ed6a2e940ca3475fd	f87b3be5ef1c201ad3a937fb84005deae4113ca168d270bb907a02f1c6d1283e
mzn-bench	2023/travelling-thief/data/n10_k15_c5000_l10000_u11000_r49	05ee2cab1728fd1665afa44e57c930438ebf5971fd5761af05348bc124fafa3a.json	ec423e8e97ede145fe271cd9e6da4bd43b83bcb6ae41eac57ee11936e68507fc	ebf2c0173973539d92a39cd3458be5acca8be0e674cdf5aefd2a906adcc8b3b8
mzn-bench	2024/tiny-cvrp/easy_instance_04	b34438fb8d03477071b13277529c8739d7ca1c84b8f50f33aa5a043a642424fd.json	d344f8f9cadad1b4a124ec841b973912a9fa88ac3d45f4066ee23d416410c0cf	7a7d534437cc3991c9697c9973b86220360fd4a6e76906b9095af5672c978691
mzn-bench	2025/skill-allocation/skill_allocation_mzn_1m_2	43ae84c27665e385743f5ebf7894fc02ffefeabd2244c82eaec4016506bb64b7.json	424f96a1a65da19d4bc56c507e8c36f8662cb92973331c35eaf394056428e14e	5136929b8ad05946a60c1fd76d47b297af50c5f2f28000404cfe2975c86b790f
smtlib-qfidl	20210312-Bouvier/vlsat3_c00	a9e21074f1f6f0d3de0c8211ff1350e9be2b0cdf8c75411a5db24465753199ef.json	d340889a38cdce62f209e0fb4178f4fc5c5cd7aaaf47167b248d56f2235bb4b3	5c17dfcc2a8f1f30d9e96df6a9825a5030ade046d560332c19de74d93d591a18
smtlib-qfidl	20220214-RVpredict-BohanLi/RVpredict_1	7d7462271da73f1bc1f44bbb063e45dc18540416abf13d928f8bb4d6d6752693.json	5ba4bfd2de73421eebe0decb4d7f3d49fff23c0fe6bfc26f8a367cde703d3c6e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
smtlib-qfidl	20220214-jobshop-BohanLi/jobshop10-2-5-5-2-4-12	55ba172ce058d4976ab19cd3ffaffb9b7dfdba895bdd15cd8b597a2d8f21e734.json	458102f65904ab57dd2fd1774dd657c36e11f17ccc0fa3f67d0513fa4802b599	d9dbf94b05b8314af9ca7f2034e92685c33447917605a7243b1099c693a12e5e
smtlib-qfidl	Averest/binary_search/BinarySearch_live_bgmc000	b68047aed3a9c603062ec591b91a529051dcb0db8c79f1c95895d7609c1db461.json	094929ea19ad458791ec4b124919203245ca26dcc770211c25a3343b4f51096b	d9dbf94b05b8314af9ca7f2034e92685c33447917605a7243b1099c693a12e5e
