suite,problem,maximize,objective,feasible,proven,elapsedMs,budgetMs,format,structure,numGlobal,numLinear,boolHeavy,logic
mzn-challenge,2008/nmseq/020,false,,,false,30000,30000,,,,,,
mzn-challenge,2009/still_life/still_life_5,false,,,false,30000,30000,,,,,,
mzn-challenge,2010/wwtp_random/ex05100_2600_100,false,,,false,30000,30000,,,,,,
mzn-challenge,2011/ship-schedule/4Ships,true,371850.0,true,true,1514,30000,,,,,,
mzn-challenge,2012/vrp/A-n38-k5.vrp,false,751.0,true,false,322,30000,,,,,,
mzn-challenge,2013/proteindesign12/1HZ5.12p.19aa.usingEref_self,false,,,false,30000,30000,,,,,,
mzn-challenge,2014/spot5/1502,false,28042.0,true,true,331,30000,,,,,,
mzn-challenge,2015/roster/chicroster_dataset_11,false,17.0,true,true,292,30000,,,,,,
mzn-challenge,2016/prize-collecting/28-4-7-1,true,65.0,true,true,1183,30000,,,,,,
mzn-challenge,2017/routing-flexible,false,115729.0,true,true,2179,30000,,,,,,
mzn-challenge,2018/steiner-tree/es10fst03.stp,false,2.6003678E7,true,true,176,30000,,,,,,
mzn-challenge,2019/stack-cuttingstock/d14,false,19.0,true,false,275,30000,,,,,,
mzn-challenge,2020/skill-allocation/skill_allocation_mzn_1m_1,false,2.0,true,true,18823,30000,,,,,,
mzn-challenge,2021/seat-moving/sm-10-11-00,false,730.0,true,false,14575,30000,,,,,,
mzn-challenge,2022/traveling-tppv/circ14cnonbal,false,480.0,true,false,12276,30000,,,,,,
mzn-challenge,2023/travelling-thief/data/n10_k15_c5000_l10000_u11000_r49,true,5134100.0,true,true,3534,30000,,,,,,
mzn-challenge,2024/tiny-cvrp/easy_instance_04,false,454.0,true,true,471,30000,,,,,,
mzn-challenge,2025/skill-allocation/skill_allocation_mzn_1m_2,false,2.0,true,true,11657,30000,,,,,,
mzn-challenge,2026/tdtsp,false,,,false,30000,30000,,,,,,
