suite,problem,maximize,objective,feasible,proven,elapsedMs,solver,budgetMs,format,structure,numGlobal,numLinear,boolHeavy
hakank,18_hole_golf/18_hole_golf,false,,true,false,146,cp-sat,10000,minizinc,linear,0,2,false
hakank,18_hole_golf/18_hole_golf2,false,,true,false,157,cp-sat,10000,minizinc,linear,0,2,false
hakank,1d_rubiks_cube/1d_rubiks_cube,false,8.0,true,true,1410,cp-sat,10000,minizinc,global,1,0,false
hakank,225_divisor/225_divisor,false,1.11111111E10,true,true,262,cp-sat,10000,minizinc,linear,0,1,false
hakank,30_bottles/30_bottles,false,,true,false,290,cp-sat,10000,minizinc,global,1,7,false
hakank,3_coins/3_coins,false,,true,false,160,cp-sat,10000,minizinc,global,2,2,false
hakank,3_jugs/3_jugs,false,7.0,true,true,3,cp-sat,10000,minizinc,linear,0,3,false
hakank,3_jugs/3_jugs2,false,,true,true,2,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,3_jugs/3_jugs2_all,false,,true,false,172,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,3_jugs/shortest_path1,false,31.0,true,true,12,cp-sat,10000,minizinc,global,2,4,false
hakank,3_jugs/shortest_path2,false,,true,true,2,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,3_jugs/wolf_goat_cabbage_lp,false,,true,false,206,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,3sum/3sum,false,,true,false,153,cp-sat,10000,minizinc,linear,0,2,false
hakank,50_puzzle/50_puzzle,false,3.0,true,true,2,cp-sat,10000,minizinc,linear,0,2,false
hakank,5x5_puzzle/5x5_puzzle,false,15.0,true,true,132,cp-sat,10000,minizinc,linear,0,3,false
hakank,99_bottles_of_beer/99_bottles_of_beer,false,,true,false,150,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,K4P2GracefulGraph/K4P2GracefulGraph,false,,true,false,753,cp-sat,10000,minizinc,global,2,0,false
hakank,K4P2GracefulGraph/K4P2GracefulGraph2,false,,true,false,901,cp-sat,10000,minizinc,global,2,0,false
