suite,problem,maximize,objective,feasible,proven,elapsedMs,budgetMs,format,structure,numGlobal,numLinear,boolHeavy
klause-bench/smoke-corpus/mps,blend-tiny,false,9.0,true,true,433,10000,,,,,
klause-bench/smoke-corpus/mps,feasible-tiny,false,0.0,true,true,460,10000,,,,,
klause-bench/smoke-corpus/mps,float-tiny,false,0.0,true,true,507,10000,,,,,
klause-bench/smoke-corpus/mps,infeasible-tiny,false,,false,true,447,10000,,,,,
miplib3,enigma,false,0.0,true,true,968,10000,,,,,
miplib3,gt2,false,21166.0,true,true,616,10000,,,,,
miplib3,lseu,false,1120.0,true,true,1150,10000,,,,,
miplib3,mod008,false,307.0,true,true,909,10000,,,,,
miplib3,p0033,false,3089.0,true,true,546,10000,,,,,
miplib3,p0201,false,7615.0,true,true,1565,10000,,,,,
miplib3,p0282,false,258411.0,true,true,1033,10000,,,,,
miplib3,p0548,false,8691.0,true,true,621,10000,,,,,
miplib3,stein27,false,18.0,true,true,877,10000,,,,,
miplib3,stein45,false,30.0,true,false,10554,10000,,,,,
