suite,problem,maximize,objective,feasible,proven,elapsedMs,budgetMs,format,structure,numGlobal,numLinear,boolHeavy
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-10/c10_problem__001.smt2.slack,false,,true,true,121,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-10/c10_problem__002.smt2.slack,false,,false,true,24,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-10/c10_problem__003.smt2.slack,false,,,false,10000,10000,,,,,
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-10/c10_problem__004.smt2.slack,false,,true,true,36,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-10/c10_problem__005.smt2.slack,false,,true,true,7427,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-10/c10_problem__006.smt2.slack,false,,true,true,30,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-100/c100_problem__002.smt2.slack,false,,,false,10000,10000,,,,,
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-100/c100_problem__003.smt2.slack,false,,true,true,133,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-100/c100_problem__004.smt2.slack,false,,true,true,7055,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-100/c100_problem__005.smt2.slack,false,,true,true,9614,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-100/c100_problem__006.smt2.slack,false,,false,true,57,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-20/c20_problem__002.smt2.slack,false,,,false,10000,10000,,,,,
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-20/c20_problem__003.smt2.slack,false,,true,true,83,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-20/c20_problem__004.smt2.slack,false,,false,true,37,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-20/c20_problem__005.smt2.slack,false,,true,true,60,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-20/c20_problem__006.smt2.slack,false,,true,true,7576,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-30/c30_problem__002.smt2.slack,false,,true,true,7853,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-30/c30_problem__003.smt2.slack,false,,true,true,54,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-30/c30_problem__004.smt2.slack,false,,true,true,62,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-30/c30_problem__005.smt2.slack,false,,true,true,7088,10000,smtlib,arithmetic,0,0,false
